label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
odroid4,89.0,93.7,86.1,84.1,84.3,84.2,85.3,84.1,84.4,84.2,84.2,83.7,83.8,84.2
odroid4,89.2,92.4,85.8,84.5,84.5,84.2,84.1,84.3,84.3,84.4,84.3,84.3,84.1,84.7
odroid4,88.9,89.6,85.7,84.1,84.3,84.0,84.0,83.9,84.3,84.3,84.2,84.2,84.3,84.0
odroid4,88.8,89.8,86.1,84.2,84.1,84.5,84.1,84.2,84.1,84.1,83.8,83.7,83.6,83.7
odroid4,90.2,90.3,85.8,84.5,84.4,84.6,84.7,84.1,84.0,84.1,84.5,84.4,83.9,84.8
odroid4,89.9,88.7,86.4,84.4,84.5,84.8,83.9,84.5,84.3,83.8,84.3,85.1,84.1,84.6
odroid4,88.6,93.5,98.1,84.9,84.7,84.3,84.4,84.5,84.8,84.9,84.7,84.2,84.7,84.3
odroid4,88.8,89.3,85.9,84.1,84.2,83.9,84.7,84.3,84.1,83.9,84.2,83.8,83.8,84.2
odroid4,88.9,88.0,85.6,84.3,84.3,84.6,84.4,84.1,84.5,84.1,85.0,83.9,84.2,83.9
odroid4,88.9,91.4,85.5,84.4,84.1,83.9,84.0,84.3,84.4,84.5,84.7,84.7,84.0,83.8
odroid4,88.8,91.6,85.3,83.9,84.4,84.1,84.2,83.8,83.8,84.3,84.1,84.5,84.1,84.1
odroid4,89.5,89.1,85.8,84.8,84.2,84.4,84.5,84.8,84.5,84.6,84.6,84.6,84.4,84.7
odroid4,89.0,87.9,85.9,84.4,84.4,84.1,84.2,84.5,84.1,84.5,84.2,83.8,83.8,83.9
odroid4,89.4,87.9,85.9,84.6,85.1,84.2,84.7,84.2,84.5,84.3,84.2,84.4,84.5,84.2
odroid4,88.9,87.9,87.3,84.8,84.7,84.5,84.1,84.3,84.2,84.3,84.5,84.2,84.0,84.3
odroid4,89.2,90.7,86.1,84.6,84.4,84.7,84.5,84.4,84.7,84.1,84.3,84.8,84.1,84.2
odroid4,89.4,90.9,86.0,84.2,84.3,84.4,84.4,84.2,83.9,84.9,84.3,84.5,84.6,84.1
odroid4,89.3,88.1,86.0,84.6,84.3,84.0,83.9,84.4,84.5,85.0,84.2,84.4,84.3,84.2
odroid4,89.0,89.7,85.7,84.2,84.6,84.3,84.1,84.6,84.3,84.2,84.4,84.2,84.2,84.1
odroid4,88.5,88.7,85.9,84.6,84.2,84.2,85.0,84.3,85.1,84.5,84.0,84.6,84.4,84.1
odroid4,89.1,88.9,85.8,85.0,84.9,84.4,84.5,85.0,84.2,84.5,84.4,84.4,84.8,84.5
odroid4,89.3,89.3,85.4,84.5,84.4,84.6,84.0,84.0,84.4,84.4,84.1,84.1,84.0,84.6
